#team_id	system_id	batch_num	rank	topic_id	stream_id	confidence	on_topic	subtopics_and_ratings
organizers	toy_system_1	1	1	where_are_aid_workers_housed_near_Monrovia	1421405887-0de7103ff270d313037c75fd9d265ea8	806	true	Tanji_Fish_Curing_Site:2
organizers	toy_system_1	1	2	where_are_aid_workers_housed_near_Monrovia	1421367917-3dbee01ac22eaef1057361d068b5870b	800	false	
organizers	toy_system_1	1	3	where_are_aid_workers_housed_near_Monrovia	1421410151-3392e7d55ff537489009b1f632a11833	409	true	Tanji_Fish_Curing_Site:3|Town_of_Wamba:3
organizers	toy_system_1	1	4	where_are_aid_workers_housed_near_Monrovia	1421362984-ee6360ee71c6a102056cf600e46373b8	388	false	
organizers	toy_system_1	1	5	where_are_aid_workers_housed_near_Monrovia	1421362130-a07ee995b92772cb451f9e30a2f8c446	378	false	
organizers	toy_system_1	2	6	where_are_aid_workers_housed_near_Monrovia	1421400440-c7ef61231bfe65707652c6c539824409	877	true	Camp_Ramrod:2
organizers	toy_system_1	2	7	where_are_aid_workers_housed_near_Monrovia	1421404182-091efc2c21401b8b92e701dfc4c4355a	830	true	Camp_Ramrod:3|Tanji_Fish_Curing_Site:1
organizers	toy_system_1	2	8	where_are_aid_workers_housed_near_Monrovia	1421365705-aa51f1787c8ccbcd2aed04d2795555fd	354	false	
organizers	toy_system_1	2	9	where_are_aid_workers_housed_near_Monrovia	1421366696-a8f31ab9843353a1f34352890150f8cd	330	false	
organizers	toy_system_1	2	10	where_are_aid_workers_housed_near_Monrovia	1421408644-9937e9abcaff354725cd9f2601b784bc	272	true	Town_of_Wamba:3
organizers	toy_system_1	3	11	where_are_aid_workers_housed_near_Monrovia	1421408991-be15693c1682d8d18d2fbb6225131031	749	true	Town_of_Wamba:2
organizers	toy_system_1	3	12	where_are_aid_workers_housed_near_Monrovia	1421361917-372e8cb6bf43b5d8e2cf61e636a70fa5	605	false	
organizers	toy_system_1	3	13	where_are_aid_workers_housed_near_Monrovia	1421362595-f936404ee5cb62b42ccbdfc5085d81e4	599	false	
organizers	toy_system_1	3	14	where_are_aid_workers_housed_near_Monrovia	1421408550-96142caa648b11f4bb26822e45da8056	418	true	Town_of_Wamba:1
organizers	toy_system_1	3	15	where_are_aid_workers_housed_near_Monrovia	1421367815-43d2d4dc23446e09fd7e72d9cd1145d8	249	true	Town_of_Wamba:1|Tanji_Fish_Curing_Site:3
